ICD9,HCC,HCC.PACE.ESRD,Description
20285,9,10,Lymphomas NEC inguin 
20286,9,10,Lymphomas NEC pelvic 
20287,9,10,Lymphomas NEC spleen 
20288,9,10,Lymphomas NEC mult 
20290,9,10,Unsp lym unsp xtrndl org
20291,9,10,Lymphoid mal NEC head 
20292,9,10,Lymphoid mal NEC thorax 
20293,9,10,Lymphoid mal NEC abdom 
20294,9,10,Lymphoid mal NEC axilla 
20295,9,10,Lymphoid mal NEC inguin 
20296,9,10,Lymphoid mal NEC pelvic 
20297,9,10,Lymphoid mal NEC spleen 
20298,9,10,Lymphoid mal NEC mult 
20300,9,9,Mult mye w/o achv rmson 
20301,9,9,Mult myelm w remission 
20302,9,9,Mult myeloma in relapse 
20310,9,9,Pls cl leu w/o achv rmsn
20311,9,9,Plsm cell leuk w rmson 
20312,9,9,Plsm cel leuk in relapse
20380,9,9,Oth imno npl wo ach rmsn
20381,9,9,Oth imnprfl npl w rmsn 
20382,9,9,Oth imnprlf neo-relapse 
20400,7,8,Ac lym leuk wo achv rmsn
20401,7,8,Act lym leuk w rmsion 
20402,7,8,Act lymp leuk in relapse
20410,9,10,Ch lym leuk wo achv rmsn
20411,9,10,Chr lym leuk w rmsion 
20412,9,10,Chr lymp leuk in relapse
20420,9,10,Sbac lym leu wo ach rmsn
20421,9,10,Sbac lym leuk w rmsion 
20422,9,10,Sbac lym leuk in relapse
20480,9,10,Oth lym leu wo achv rmsn
20481,9,10,Oth lym leuk w rmsion 
20482,9,10,Oth lym leuk in relapse 
20490,9,10,Uns lym leu wo ach rmsn 
20491,9,10,Uns lym leuk w rmsion 
20492,9,10,Lymp leuk NOS relapse 
20500,7,8,Ac myl leuk wo achv rmsn
20501,7,8,Act myl leuk w rmsion 
20502,7,8,Act myel leuk in relapse
20510,8,9,Ch myl leuk wo achv rmsn
20511,8,9,Chr myl leuk w rmsion 
20512,8,9,Chr myel leuk in relapse
20520,8,9,Sbac myl leu wo ach rmsn
20521,8,9,Sbac myl leuk w rmsion 
20522,8,9,Sbac myl leuk in relapse
20530,8,9,Myl sarcoma wo achv rmsn
20531,8,9,Myl srcoma w rmsion 
20532,8,9,Myel sarcoma in relapse 
20580,8,9,Oth my leuk wo achv rmsn
20581,8,9,Oth myl leuk w rmsion 
20582,8,9,Oth myel leuk in relapse
20590,8,9,Uns my leu wo ach rmsn 
20591,8,9,Uns myl leuk w rmsion 
20592,8,9,Myel leuk NOS in relapse
20600,7,8,Ac mono leu wo achv rmsn
20601,7,8,Act mono leuk w rmsion 
20602,7,8,Act mono leuk in relapse
20610,8,9,Ch mono leu wo achv rmsn
20611,8,9,Chr mono leuk w rmsion 
20612,8,9,Chr mono leuk in relapse
20620,8,9,Sbac mno leu wo ach rmsn
20621,8,9,Sbac mono leuk w rmsion 
20622,8,9,Sbac mono leu in relapse
20680,8,9,Ot mono leu wo achv rmsn
20681,8,9,Oth mono leuk w rmsion 
20682,8,9,Oth mono leuk in relapse
20690,8,9,Uns mno leu wo ach rmsn 
20691,8,9,Uns mono leuk w rmsion 
20692,8,9,Mono leuk NOS relapse 
20700,7,8,Ac erth/erlk wo ach rmsn
20701,7,8,Act erth/erylk w rmson 
20702,7,8,Ac erth/erylk in relapse
20710,8,9,Chr erythrm w/o ach rmsn
20711,8,9,Chr erythrm w remision 
20712,8,9,Chr erythrmia in relapse
20720,8,9,Mgkrcyt leuk wo ach rmsn
20721,8,9,Mgkrycyt leuk w rmsion 
20722,8,9,Mgkrycyt leuk in relapse
20780,8,9,Oth leuk w/o achv rmsn 
20781,8,9,Oth spf leuk w remsion 
20782,8,9,Oth spf leuk in relapse 
20800,7,8,Ac leu un cl wo ach rmsn
20801,7,8,Act leuk uns cl w rmson 
20802,7,8,Ac leuk uns cl relapse 
20810,9,10,Ch leu un cl wo ach rmsn
20811,9,10,Chr leuk uns cl w rmson 
20812,9,10,Ch leu uns cl in relapse
20820,9,10,Sbc leu un cl wo ah rmsn
20821,9,10,Sbac leuk uns cl w rmson
20822,9,10,Sbac leu uns cl-relapse 
20880,9,10,Ot leu un cl wo ach rmsn
20881,9,10,Oth leuk uns cl w rmson 
20882,9,10,Oth leuk uns cl-relapse 
20890,9,10,Leuk NOS w/o achv rmsn 
20891,9,10,Leukemia NOS w remission
20892,9,10,Leukemia NOS in relapse 
20900,10,12,Mal crcnoid sm intst NOS
20901,10,12,Malig carcinoid duodenum
20902,10,12,Malig carcinoid jejunum 
20903,10,12,Malig carcinoid ileum 
20910,10,12,Mal crcnoid lg intst NOS
20911,10,12,Malig carcinoid appendix
20912,10,12,Malig carcinoid cecum 
20913,10,12,Mal crcnoid ascend colon
20914,10,12,Mal crcnoid transv colon
20915,10,12,Mal carcinoid desc colon
20916,10,12,Mal carcinoid sig colon 
20917,10,12,Malig carcinoid rectum 
20920,10,12,Mal crcnd prim site unkn
20921,10,12,Mal carcinoid bronc/lung
20922,10,12,Malig carcinoid thymus 
20923,10,12,Malig carcinoid stomach 
20924,10,12,Malig carcinoid kidney 
20925,10,12,Mal carcnoid foregut NOS
20926,10,12,Mal carcinoid midgut NOS
20927,10,12,Mal carcnoid hindgut NOS
20929,10,12,Malig carcinoid oth site
20930,10,12,Malig neuroendo ca NOS 
20931,10,12,Merkel cell ca-face 
20932,10,12,Merkel cell ca-sclp/neck
20933,10,12,Merkel cell ca-up limb 
20934,10,12,Merkel cell ca-low limb 
20935,10,12,Merkel cell ca-trunk 
20936,10,12,Merkel cell ca-oth sites
20970,7,8,Sec neuroendo tumor NOS 
20971,7,8,Sec neuroend tu dist lym
20972,7,8,Sec neuroend tumor-liver
20973,7,8,Sec neuroendo tumor-bone
20974,7,8,Sec neuroendo tu-periton
20975,7,8,Secondary Merkel cell ca
20979,7,8,Sec neuroend tu oth site
2250 ,10,12,Benign neoplasm brain 
2251 ,10,12,Benign neo cranial nerve
2252 ,10,12,Ben neo cerebr meninges 
2253 ,10,12,Benign neo spinal cord 
2254 ,10,12,Ben neo spinal meninges 
2258 ,10,12,Benign neo nerv sys NEC 
2259 ,10,12,Benign neo nerv sys NOS 
2273 ,10,12,Benign neo pituitary 
2274 ,10,12,Ben neopl pineal gland 
22802,10,12,Hemangioma intracranial 
2370 ,10,12,Unc behav neo pituitary 
2371 ,10,12,Unc behav neo pineal 
2373 ,10,12,Unc behav neo paragang 
2375 ,10,12,Unc beh neo brain/spinal
2376 ,10,12,Unc behav neo meninges 
23770,10,12,Neurofibromatosis NOS 
23771,10,12,Neurofibromatosis type I
23772,10,12,Neurofibromatosis typ II
23773,10,12,Schwannomatosis 
23779,10,12,Neurofibromatosis NEC 
2379 ,10,12,Unc beh neo nerv sys NEC
2384 ,,48,Polycythemia vera 
2386 ,,,Plasmacytoma NOS 
23871,,48,Essntial thrombocythemia
23872,44,46,Low grde myelody syn les
23873,44,46,Hi grde myelodys syn les
23874,44,46,Myelodyspls syn w 5q del
23875,44,46,Myelodysplastic synd NOS
23876,,46,Myelofi w myelo metaplas
23877,,48,Post tp lymphprolif dis 
23879,,48,Lymph/hematpoitc tis NEC
2396 ,10,12,Brain neoplasm NOS 
2400 ,,,Simple goiter 
2409 ,,,Goiter NOS 
2410 ,,,Nontox uninodular goiter
2411 ,,,Nontox multinodul goiter
2419 ,,,Nontox nodul goiter NOS 
24200,,,Tox dif goiter no crisis
24201,,,Tox dif goiter w crisis 
24210,,,Tox uninod goit no cris 
24211,,,Tox uninod goit w crisis
24220,,,Tox multnod goit no cris
24221,,,Tox multnod goit w cris 
24230,,,Tox nod goiter no crisis
24231,,,Tox nod goiter w crisis 
24240,,,Thyrotox-ect nod no cris
24241,,,Thyrotox-ect nod w cris 
24280,,,Thyrtox orig NEC no cris
24281,,,Thyrotox orig NEC w cris
24290,,,Thyrotox NOS no crisis 
24291,,,Thyrotox NOS w crisis 
243 ,,,Congenital hypothyroidsm
2440 ,,,Postsurgical hypothyroid
2441 ,,,Postablat hypothyr NEC 
2442 ,,,Iodine hypothyroidism 
2443 ,,,Iatrogen hypothyroid NEC
2448 ,,,Acquired hypothyroid NEC
2449 ,,,Hypothyroidism NOS 
2450 ,,,Acute thyroiditis 
2451 ,,,Subacute thyroiditis 
2452 ,,,Chr lymphocyt thyroidit 
2453 ,,,Chr fibrous thyroiditis 
2454 ,,,Iatrogenic thyroiditis 
2458 ,,,Chr thyroiditis NEC/NOS 
2459 ,,,Thyroiditis NOS 
2460 ,,,Dis thyrocalciton secret
2461 ,,,Dyshormonogenic goiter 
2462 ,,,Cyst of thyroid 
2463 ,,,Hemorr/infarc thyroid 
2468 ,,,Disorders of thyroid NEC
2469 ,,,Disorder of thyroid NOS 
24900,19,19,Sec DM wo cmp nt st uncn
24901,19,19,Sec DM wo comp uncontrld
24910,17,17,Sec DM keto nt st uncntr
24911,17,17,Sec DM ketoacd uncntrld 
24920,17,17,Sec DM hpros nt st uncnr
24921,17,17,Sec DM hprosmlr uncntrld
24930,17,17,Sec DM ot cma nt st uncn
24931,17,17,Sec DM oth coma uncntrld
24940,15,18,Sec DM renl nt st uncntr
24941,15,18,Sec DM renal uncontrld 
24950,18,18,Sec DM ophth nt st uncn 
24951,18,18,Sec DM ophth uncontrld 
24960,16,18,Sec DM neuro nt st uncn 
24961,16,18,Sec DM neuro uncontrld 
24970,15,18,Sec DM circ nt st uncntr
24971,15,18,Sec DM circ uncontrld 
24980,16,18,Sec DM oth nt st uncontr
24981,16,18,Sec DM other uncontrld 
24990,18,18,Sec DM unsp nt st uncon 
24991,18,18,Sec DM unsp uncontrold 
25000,19,19,DMII wo cmp nt st uncntr
25001,19,19,DMI wo cmp nt st uncntrl
25002,19,19,DMII wo cmp uncntrld 
25003,19,19,DMI wo cmp uncntrld 
25010,17,17,DMII keto nt st uncntrld
25011,17,17,DMI keto nt st uncntrld 
25012,17,17,DMII ketoacd uncontrold 
25013,17,17,DMI ketoacd uncontrold 
25020,17,17,DMII hprsm nt st uncntrl
25021,17,17,DMI hprsm nt st uncntrld
25022,17,17,DMII hprosmlr uncontrold
25023,17,17,DMI hprosmlr uncontrold 
25030,17,17,DMII o cm nt st uncntrld
25031,17,17,DMI o cm nt st uncntrld 
25032,17,17,DMII oth coma uncontrold
25033,17,17,DMI oth coma uncontrold 
25040,15,18,DMII renl nt st uncntrld
25041,15,18,DMI renl nt st uncntrld 
25042,15,18,DMII renal uncntrld 
25043,15,18,DMI renal uncntrld 
25050,18,18,DMII ophth nt st uncntrl
25051,18,18,DMI ophth nt st uncntrld
25052,18,18,DMII ophth uncntrld 
25053,18,18,DMI ophth uncntrld 
25060,16,18,DMII neuro nt st uncntrl
25061,16,18,DMI neuro nt st uncntrld
25062,16,18,DMII neuro uncntrld 
25063,16,18,DMI neuro uncntrld 
25070,15,18,DMII circ nt st uncntrld
25071,15,18,DMI circ nt st uncntrld 
25072,15,18,DMII circ uncntrld 
25073,15,18,DMI circ uncntrld 
25080,16,18,DMII oth nt st uncntrld 
25081,16,18,DMI oth nt st uncntrld 
25082,16,18,DMII oth uncntrld 
25083,16,18,DMI oth uncntrld 
25090,18,18,DMII unspf nt st uncntrl
25091,18,18,DMI unspf nt st uncntrld
25092,18,18,DMII unspf uncntrld 
25093,18,18,DMI unspf uncntrld 
2510 ,,23,Hypoglycemic coma 
2514 ,32,,Abn secretion glucagon 
2515 ,32,,Abnorm secretion gastrin
2518 ,32,,Pancreatic disorder NEC 
2519 ,32,,Pancreatic disorder NOS 
25200,,23,Hyperparathyroidism NOS 
25201,,23,Primary hyperparathyroid
25202,,23,Sec hyprprthyrd nonrenal
25208,,23,Hyperparathyroidism NEC 
2521 ,,23,Hypoparathyroidism 
2528 ,,23,Parathyroid disorder NEC
2529 ,,23,Parathyroid disorder NOS
2530 ,,23,Acromegaly and gigantism
2531 ,,23,Ant pituit hyperfunc NEC
2532 ,,23,Panhypopituitarism 
2533 ,,23,Pituitary dwarfism 
2534 ,,23,Anter pituitary dis NEC 
2535 ,,23,Diabetes insipidus 
2536 ,,23,Neurohypophysis dis NEC 
2537 ,,23,Iatrogenic pituitary dis
2538 ,,23,Pituitary disorder NEC 
2539 ,,23,Pituitary disorder NOS 
2540 ,,23,Persist hyperplas thymus
2541 ,,23,Abscess of thymus 
2548 ,,23,Diseases of thymus NEC 
2549 ,,23,Disease of thymus NOS 
2550 ,,23,Cushing's syndrome 
25510,,23,Hyperaldosteronism NOS 
25511,,23,Glucrtcod-rem aldsternsm
25512,,23,Conn's syndrome 
25513,,23,Bartter's syndrome 
25514,,23,Secondry aldosternsm NEC
2552 ,,23,Adrenogenital disorders 
2553 ,,23,Corticoadren overact NEC
25541,,23,Glucocorticoid deficient
25542,,23,Mineralcorticoid defcnt 
2555 ,,23,Adrenal hypofunction NEC
2556 ,,23,Medulloadrenal hyperfunc
2558 ,,23,Adrenal disorder NEC 
2559 ,,23,Adrenal disorder NOS 
25801,,23,Mult endo neoplas type I
25802,,23,Mult endo neop type IIA 
25803,,23,Mult endo neop type IIB 
2581 ,,23,Comb endocr dysfunct NEC
2588 ,,23,Polyglandul dysfunc NEC 
2589 ,,23,Polyglandul dysfunc NOS 
2592 ,10,12,Carcinoid syndrome 
260 ,21,21,Kwashiorkor 
261 ,21,21,Nutritional marasmus 
262 ,21,21,Oth severe malnutrition 
2630 ,21,21,Malnutrition mod degree 
2631 ,21,21,Malnutrition mild degree
2632 ,21,21,Arrest devel d/t malnutr
2638 ,21,21,Protein-cal malnutr NEC 
2639 ,21,21,Protein-cal malnutr NOS 
2680 ,,,"Rickets, active "
2682 ,,,Osteomalacia NOS 
2700 ,,23,Amino-acid transport dis
2701 ,,23,Phenylketonuria - pku 
2702 ,,23,Arom amin-acid metab NEC
2703 ,,23,Bran-chain amin-acid dis
2704 ,,23,Sulph amino-acid met dis
2705 ,,23,Dis histidine metabolism
2706 ,,23,Dis urea cycle metabol 
2707 ,,23,Straig amin-acid met NEC
2708 ,,23,Dis amino-acid metab NEC
2709 ,,23,Dis amino-acid metab NOS
2710 ,,23,Glycogenosis 
2711 ,,23,Galactosemia 
2714 ,,23,Renal glycosuria 
2718 ,,23,Dis carbohydr metab NEC 
2719 ,,23,Dis carbohydr metab NOS 
2720 ,,,Pure hypercholesterolem 
2721 ,,,Pure hyperglyceridemia 
2722 ,,,Mixed hyperlipidemia 
2723 ,,,Hyperchylomicronemia 
2724 ,,,Hyperlipidemia NEC/NOS 
2725 ,,,Lipoprotein deficiencies
2727 ,,23,Lipidoses 
2728 ,,,Lipoid metabol dis NEC 
2729 ,,,Lipoid metabol dis NOS 
2732 ,,23,Paraproteinemia NEC 
2733 ,,23,Macroglobulinemia 
2734 ,,23,Alpha-1-antitrypsin def 
27501,,23,Heredit hemochromatosis 
27503,,,Hemochromatosis NEC 
27509,,,Disord iron metablsm NEC
2751 ,,,Dis copper metabolism 
2753 ,,,Dis phosphorus metabol 
27700,107,110,Cystic fibros w/o ileus 
27701,107,110,Cystic fibrosis w ileus 
27702,107,110,Cystic fibros w pul man 
27703,107,110,Cystic fibrosis w GI man
27709,107,110,Cystic fibrosis NEC 
2771 ,,23,Dis porphyrin metabolism
2772 ,,23,Purine/pyrimid dis NEC 
27730,,23,Amyloidosis NOS 
27731,,23,Fam Mediterranean fever 
27739,,23,Amyloidosis NEC 
2775 ,,23,Mucopolysaccharidosis 
2776 ,,23,Defic circul enzyme NEC 
27781,,23,Primary carnitine defncy
27782,,23,Crnitne def d/t nb met 
27783,,23,Iatrogenic carnitine def
27784,,23,Sec carnitine defncy NEC
27785,,23,Disorders acid oxidation
27786,,23,Peroxisomal disorders 
27787,,23,Dis mitochondrial metab 
27789,,23,Metabolism disorder NEC 
27801,,22,Morbid obesity 
27803,,22,Obesity hypovent synd 
27900,45,47,Hypogammaglobulinem NOS 
27901,45,47,Selective iga immunodef 
27902,45,47,Selective IgM immunodef 
27903,45,47,Selective ig defic NEC 
27904,45,47,Cong hypogammaglobulinem
27905,45,47,Immunodefic w hyper-igm 
27906,45,47,Common variabl immunodef
27909,45,47,Humoral immunity def NEC
27910,45,47,Immundef t-cell def NOS 
27911,45,47,Digeorge's syndrome 
27912,45,47,Wiskott-aldrich syndrome
27913,45,47,Nezelof's syndrome 
27919,45,47,Defic cell immunity NOS 
2792 ,45,47,Combined immunity defic 
2793 ,45,47,Immunity deficiency NOS 
27941,45,47,Autoimmun lymphprof synd
27949,45,47,Autoimmune disease NEC 
27950,45,47,Graft-versus-host NOS 
27951,45,47,Ac graft-versus-host dis
27952,45,47,Chronc graft-vs-host dis
27953,45,47,Ac on chrn grft-vs-host 
2798 ,45,47,Immune mechanism dis NEC
2799 ,45,47,Immune mechanism dis NOS
2820 ,,48,Hereditary spherocytosis
2821 ,,48,Heredit elliptocytosis 
2822 ,,48,Glutathione dis anemia 
2823 ,,48,Enzyme defic anemia NEC 
28241,44,46,Thlasema Hb-S w/o crisis
28242,44,46,Thlassemia Hb-S w crisis
28243,,48,Alpha thalassemia 
28244,,48,Beta thalassemia 
28245,,48,Delta-beta thalassemia 
28247,,48,Hgb E-beta thalassemia 
28249,,48,Thalassemia NEC 
2825 ,,48,Sickle-cell trait 
28260,44,46,Sickle cell disease NOS 
28261,44,46,Hb-SS disease w/o crisis
28262,44,46,Hb-SS disease w crisis 
28263,44,46,Hb-SS/hb-C dis w/o crsis
28264,44,46,Hb-S/Hb-C dis w crisis 
28268,44,46,Hb-S dis w/o crisis NEC 
28269,44,46,Hb-SS dis NEC w crisis 
2827 ,,48,Hemoglobinopathies NEC 
2828 ,,48,Hered hemolytic anem NEC
2829 ,,48,Hered hemolytic anem NOS
2830 ,44,46,Autoimmun hemolytic anem
28310,44,46,Nonauto hem anemia NOS 
28311,44,46,Hemolytic uremic synd 
28319,44,46,Oth nonauto hem anemia 
2832 ,44,46,Hemolytic hemoglobinuria
2839 ,44,46,Acq hemolytic anemia NOS
28401,44,46,Constitution RBC aplasia
28409,44,46,Const aplastc anemia NEC
28411,45,47,Antin chemo indcd pancyt
28412,45,47,Oth drg indcd pancytopna
28419,45,47,Other pancytopenia 
2842 ,44,46,Myelophthisis 
28481,44,46,Red cell aplasia 
28489,44,46,Aplastic anemias NEC 
2849 ,44,46,Aplastic anemia NOS 
2850 ,,48,Sideroblastic anemia 
2860 ,44,46,Cong factor viii diord 
2861 ,44,46,Cong factor IX disorder 
2862 ,,48,Cong factor xi disorder 
2863 ,,48,Cong def clot factor NEC
2864 ,,48,Von willebrand's disease
28652,,48,Acquired hemophilia 
28653,,48,Antiphospholipid w hemor
28659,,48,Ot hem d/t circ anticoag
2866 ,,48,Defibrination syndrome 
2867 ,,48,Acq coagul factor defic 
2869 ,,48,Coagulat defect NEC/NOS 
2870 ,,48,Allergic purpura 
2871 ,,48,Thrombocytopathy 
2872 ,,48,Purpura NOS 
28730,,48,Prim thrombocytopen NOS 
28731,,48,Immune thrombocyt purpra
28732,,48,Evans' syndrome 
28733,,48,Cong/herid thromb purpra
28739,,48,Prim thrombocytopen NEC 
2875 ,,48,Thrombocytopenia NOS 
2878 ,,48,Hemorrhagic cond NEC 
2879 ,,48,Hemorrhagic cond NOS 
28800,45,47,Neutropenia NOS 
28801,45,47,Congenital neutropenia 
28802,45,47,Cyclic neutropenia 
28803,45,47,Drug induced neutropenia
28804,45,47,Neutropenia d/t infectn 
28809,45,47,Neutropenia NEC 
2881 ,45,47,Function dis neutrophils
2882 ,45,47,Genetic anomaly leukocyt
2884 ,45,47,Hemophagocytic syndromes
28952,44,46,Splenic sequestration 
28981,,48,Prim hypercoagulable st 
28982,,48,Sec hypercoagulable st 
28983,,46,Myelofibrosis 
28984,,48,Heparin-indu thrombocyto
2900 ,,52,Senile dementia uncomp 
29010,,52,Presenile dementia 
29011,,51,Presenile delirium 
29012,,51,Presenile delusion 
29013,,51,Presenile depression 
29020,,51,Senile delusion 
29021,,51,Senile depressive 
2903 ,,51,Senile delirium 
29040,,52,"Vascular dementia,uncomp"
29041,,51,Vasc dementia w delirium
29042,,51,Vasc dementia w delusion
29043,,51,Vasc dementia w depressn
2908 ,,52,Senile psychosis NEC 
2909 ,,52,Senile psychot cond NOS 
2910 ,51,54,Delirium tremens 
2911 ,51,54,Alcohol amnestic disordr
2912 ,51,54,Alcohol persist dementia
2913 ,51,54,Alcoh psy dis w hallucin
2914 ,51,54,Pathologic alcohol intox
2915 ,51,54,Alcoh psych dis w delus 
29181,51,54,Alcohol withdrawal 
29182,51,54,Alcoh induce sleep disor
29189,51,54,Alcohol mental disor NEC
2919 ,51,54,Alcohol mental disor NOS
2920 ,51,54,Drug withdrawal 
29211,51,54,Drug psych disor w delus
29212,51,54,Drug psy dis w hallucin 
2922 ,51,54,Pathologic drug intox 
29281,51,54,Drug-induced delirium 
29282,51,54,Drug persisting dementia
29283,51,54,Drug persist amnestc dis
29284,51,54,Drug-induced mood disord
29285,51,54,Drug induced sleep disor
29289,51,54,Drug mental disorder NEC
2929 ,51,54,Drug mental disorder NOS
2940 ,,52,Amnestic disord oth dis 
29410,,52,Dementia w/o behav dist 
29411,,51,Dementia w behavior dist
29420,,52,Demen NOS w/o behv dstrb
29421,,51,Demen NOS w behav distrb
2948 ,,52,Mental disor NEC oth dis
2949 ,,52,Mental disor NOS oth dis
29500,54,57,Simpl schizophren-unspec
29501,54,57,Simpl schizophren-subchr
29502,54,57,Simple schizophren-chr 
29503,54,57,Simp schiz-subchr/exacer
29504,54,57,Simpl schizo-chr/exacerb
29505,54,57,Simpl schizophren-remiss
29510,54,57,Hebephrenia-unspec 
29511,54,57,Hebephrenia-subchronic 
29512,54,57,Hebephrenia-chronic 
29513,54,57,Hebephren-subchr/exacerb
29514,54,57,Hebephrenia-chr/exacerb 
29515,54,57,Hebephrenia-remission 
29520,54,57,Catatonia-unspec 
29521,54,57,Catatonia-subchronic 
29522,54,57,Catatonia-chronic 
29523,54,57,Catatonia-subchr/exacerb
29524,54,57,Catatonia-chr/exacerb 
29525,54,57,Catatonia-remission 
29530,54,57,Paranoid schizo-unspec 
29531,54,57,Paranoid schizo-subchr 
29532,54,57,Paranoid schizo-chronic 
29533,54,57,Paran schizo-subchr/exac
29534,54,57,Paran schizo-chr/exacerb
29535,54,57,Paranoid schizo-remiss 
29540,54,57,Schizophreniform dis NOS
29541,54,57,Schizophrenic dis-subchr
29542,54,57,Schizophren dis-chronic 
29543,54,57,Schizo dis-subchr/exacer
29544,54,57,Schizophr dis-chr/exacer
29545,54,57,Schizophrenic dis-remiss
29550,54,57,Latent schizophren-unsp 
29551,54,57,Lat schizophren-subchr 
29552,54,57,Latent schizophren-chr 
29553,54,57,Lat schizo-subchr/exacer
29554,54,57,Latent schizo-chr/exacer
29555,54,57,Lat schizophren-remiss 
29560,54,57,Schizophr dis resid NOS 
29561,54,57,Schizoph dis resid-subch
29562,54,57,Schizophr dis resid-chr 
29563,54,57,Schizo resid subchr/exac
29564,54,57,Schizoph resid-chro/exac
29565,54,57,Schizoph dis resid-remis
29570,54,57,Schizoaffective dis NOS 
29571,54,57,Schizoaffectv dis-subchr
29572,54,57,Schizoaffective dis-chr 
29573,54,57,Schizoaff dis-subch/exac
29574,54,57,Schizoafftv dis-chr/exac
29575,54,57,Schizoaffectve dis-remis
29580,54,57,Schizophrenia NEC-unspec
29581,54,57,Schizophrenia NEC-subchr
29582,54,57,Schizophrenia NEC-chr 
29583,54,57,Schizo NEC-subchr/exacer
29584,54,57,Schizo NEC-chr/exacerb 
29585,54,57,Schizophrenia NEC-remiss
29590,54,57,Schizophrenia NOS-unspec
29591,54,57,Schizophrenia NOS-subchr
29592,54,57,Schizophrenia NOS-chr 
29593,54,57,Schizo NOS-subchr/exacer
29594,54,57,Schizo NOS-chr/exacerb 
29595,54,57,Schizophrenia NOS-remiss
29600,55,58,Bipol I single manic NOS
29601,55,58,Bipol I single manc-mild
29602,55,58,Bipol I single manic-mod
29603,55,58,Bipol I sing-sev w/o psy
29604,55,58,Bipo I sin man-sev w psy
29605,55,58,Bipol I sing man rem NOS
29606,55,58,Bipol I single manic rem
29610,55,58,Recur manic dis-unspec 
29611,55,58,Recur manic dis-mild 
29612,55,58,Recur manic dis-mod 
29613,55,58,Recur manic dis-severe 
29614,55,58,Recur manic-sev w psycho
29615,55,58,Recur manic-part remiss 
29616,55,58,Recur manic-full remiss 
29620,55,58,Depress psychosis-unspec
29621,55,58,Depress psychosis-mild 
29622,55,58,Depressive psychosis-mod
29623,55,58,Depress psychosis-severe
29624,55,58,Depr psychos-sev w psych
29625,55,58,Depr psychos-part remiss
29626,55,58,Depr psychos-full remiss
29630,55,58,Recurr depr psychos-unsp
29631,55,58,Recurr depr psychos-mild
29632,55,58,Recurr depr psychos-mod 
29633,55,58,Recur depr psych-severe 
29634,55,58,Rec depr psych-psychotic
29635,55,58,Recur depr psyc-part rem
29636,55,58,Recur depr psyc-full rem
29640,55,58,Bipol I currnt manic NOS
29641,55,58,Bipol I curnt manic-mild
29642,55,58,Bipol I currnt manic-mod
29643,55,58,Bipol I manc-sev w/o psy
29644,55,58,Bipol I manic-sev w psy 
29645,55,58,Bipol I cur man part rem
29646,55,58,Bipol I cur man full rem
29650,55,58,Bipol I cur depres NOS 
29651,55,58,Bipol I cur depress-mild
29652,55,58,Bipol I cur depress-mod 
29653,55,58,Bipol I curr dep w/o psy
29654,55,58,Bipol I currnt dep w psy
29655,55,58,Bipol I cur dep rem NOS 
29656,55,58,Bipol I currnt dep remis
29660,55,58,Bipol I currnt mixed NOS
29661,55,58,Bipol I currnt mix-mild 
29662,55,58,Bipol I currnt mixed-mod
29663,55,58,Bipol I cur mix w/o psy 
29664,55,58,Bipol I cur mixed w psy 
29665,55,58,Bipol I cur mix-part rem
29666,55,58,Bipol I cur mixed remiss
2967 ,55,58,Bipolor I current NOS 
29680,55,58,Bipolar disorder NOS 
29681,55,58,Atypical manic disorder 
29682,55,58,Atypical depressive dis 
29689,55,58,Bipolar disorder NEC 
29690,55,58,Episodic mood disord NOS
29699,55,58,Episodic mood disord NEC
2970 ,55,58,"Paranoid state, simple "
2971 ,55,58,Delusional disorder 
2972 ,55,58,Paraphrenia 
2973 ,55,58,Shared psychotic disord 
2978 ,55,58,Paranoid states NEC 
2979 ,55,58,Paranoid state NOS 
29900,,,Autistic disord-current 
29901,,,Autistic disord-residual
29910,,,Childhd disintegr-active
29911,,,Childhd disintegr-resid 
29980,,,Pervasv dev dis-cur NEC 
29981,,,Pervasv dev dis-res NEC 
29990,,,Pervasv dev dis-cur NOS 
29991,,,Pervasv dev dis-res NOS 
30001,,,Panic dis w/o agorphobia
30002,,,Generalized anxiety dis 
30010,,,Hysteria NOS 
30011,,,Conversion disorder 
30012,,,Dissociative amnesia 
30013,,,Dissociative fugue 
30014,,,Dissociatve identity dis
30015,,,Dissociative react NOS 
30016,,,Factitious dis w symptom
30019,,,Factitious ill NEC/NOS 
30020,,,Phobia NOS 
30021,,,Agoraphobia w panic dis 
30022,,,Agoraphobia w/o panic 
30023,,,Social phobia 
30029,,,Isolated/spec phobia NEC
3003 ,,,Obsessive-compulsive dis
3004 ,,,Dysthymic disorder 
3006 ,,,Depersonalization disord
3007 ,,,Hypochondriasis 
30081,,,Somatization disorder 
30082,,,Undiff somatoform disrdr
30089,,,Somatoform disorders NEC
30110,,,Affectiv personality NOS
30111,,,Chronic hypomanic person
30112,,,Chr depressive person 
30113,,,Cyclothymic disorder 
3013 ,,,Explosive personality 
3014 ,,,Obsessive-compulsive dis
30183,,,Borderline personality 
30300,52,55,Ac alcohol intox-unspec 
30301,52,55,Ac alcohol intox-contin 
30302,52,55,Ac alcohol intox-episod 
30303,52,55,Ac alcohol intox-remiss 
30390,52,55,Alcoh dep NEC/NOS-unspec
30391,52,55,Alcoh dep NEC/NOS-contin
30392,52,55,Alcoh dep NEC/NOS-episod
